Lshape,Rshape,Label,t1X,t1Y,t2X,t2Y,angle1,angle2,probeAngle,subject
2,3,2,703.0825355,446.7359227,855.5145752,422.0081283,111.0763592,47.75056377,110.8813867,1
2,1,1,704.6303043,416.6865919,850.8972957,438.0388,19.39842274,163.1354671,160.4502519,1
1,2,2,696.7586627,444.5407561,841.1858792,444.7928224,56.28939963,16.961281,26.37061517,1
1,3,3,691.4133375,445.9749724,850.9594742,461.9935571,57.52795233,117.8002274,125.0266781,1
3,1,3,697.1068424,427.1009868,849.8064628,405.8126903,58.52622273,19.0132566,54.12942982,1
3,1,1,694.505459,440.8133823,854.4214335,461.2924121,27.65820917,157.5668877,160.0141407,1
3,2,2,698.8106286,404.3515372,847.463934,416.30657,121.7020147,52.0316229,49.28080062,1
2,1,2,689.6449475,443.2212522,849.8545503,400.4297801,120.2098909,151.9905882,122.4434098,1
1,3,3,680.0322296,427.1583385,840.9485765,429.4986474,69.61881501,164.8784239,161.0031946,1
3,2,2,693.1980003,411.2559626,829.0013565,446.1925141,58.04492529,141.2530731,142.2697199,1
3,2,3,697.006898,447.2593178,833.3688672,415.5423743,27.48981608,61.40242927,27.94848684,1
2,1,1,685.2825354,405.8312617,836.0499488,436.8774004,48.4310856,137.790003,132.0672649,1
1,3,1,699.8598877,407.6413599,834.6144562,438.8674522,115.9997007,37.60828604,124.2027539,1
2,3,3,698.5362688,453.8834658,839.6524405,453.3066764,119.1500553,63.03924242,52.32881984,1
2,3,2,687.4138127,407.6297306,836.9060741,460.1490861,110.4229326,156.5893858,127.3110375,1
1,3,1,682.9623517,404.0698477,831.071529,425.8931197,115.077053,39.36179383,124.1674582,1
3,2,3,697.5810986,459.7026285,849.6154508,462.2554147,65.84691183,137.4308354,55.04056699,1
1,2,1,682.6269607,433.94203,842.7113233,455.1129479,24.99735651,125.3279407,29.69706667,1
1,2,1,700.7552224,422.253611,842.5614691,409.5998242,70.82214502,120.8576051,54.92184134,1
3,1,1,686.79799,444.0189494,840.3872648,422.9906055,47.18615719,135.8879881,133.9268015,1
2,1,2,699.713328,401.2529679,840.3845516,421.1749043,71.04734555,123.0148561,58.08618994,1
3,1,3,692.0377995,425.0357117,852.8575867,449.2233208,48.64867622,147.9098133,43.13583034,1
2,3,3,686.0485296,460.7554504,850.1314021,420.9641878,145.5325373,67.93119807,49.42528741,1
1,2,2,704.1354534,432.9231012,855.7164203,456.5939855,150.0301072,30.10563819,23.76052111,1
2,1,1,700.9637601,450.5576339,851.1163468,420.3855517,27.85542276,73.25187069,58.68128255,1
3,2,2,693.8649565,431.6803728,833.3118914,409.4469262,16.19112218,122.1574149,113.8994829,1
2,3,3,707.7186058,430.6894967,842.7750419,451.2862468,153.1282814,110.2619645,115.7568587,1
2,1,2,686.9085667,405.3429001,846.6596541,440.0614263,162.1534479,105.4776664,144.4188912,1
3,2,2,704.1559001,454.0707632,841.5603023,413.4019254,131.355334,21.7547228,33.44582683,1
2,1,1,681.3869122,412.3206653,841.7079597,407.8773598,113.3790093,65.23406321,45.70988342,1
3,2,3,687.892272,444.4904345,843.080707,431.9434249,26.37268391,114.335625,21.91602112,1
1,2,2,704.4699674,413.341527,835.5682413,436.1586925,22.30780997,153.539668,151.2062365,1
3,2,3,696.0638734,459.5968886,829.4581809,446.6343476,37.0755928,111.7725559,25.95683308,1
2,1,2,691.1605059,401.9769311,831.750075,460.1050692,154.8793013,31.96844289,150.8261213,1
2,3,3,680.7063891,435.7780829,851.5817851,454.6623968,53.19609021,116.6757132,129.3575839,1
1,2,2,689.2632119,407.5619327,853.1576119,463.2587474,31.87935608,119.3054512,128.399642,1
1,3,1,691.6066311,448.893253,841.0155184,452.3650585,127.2451355,51.81288207,125.2044308,1
1,2,1,681.5877313,421.4943344,842.6127989,411.2428179,32.0610517,64.73428443,24.17893348,1
1,2,1,693.1171096,406.6567408,853.5397093,447.7149487,162.9276406,121.5704119,161.9253491,1
2,3,2,688.3982357,413.6064981,831.7554421,457.2762672,33.15493755,107.4980431,33.42905626,1
1,3,3,685.5064294,419.6714816,830.6143745,429.1876907,43.64758061,161.4944432,162.8333879,1
1,3,1,697.66996,405.1751951,830.5169662,449.7433943,59.77671002,137.0566596,46.90269488,1
3,1,3,689.4667361,447.7640594,836.2312455,400.6615436,19.64775817,148.6455944,26.56894679,1
1,3,3,699.3908956,425.3773307,843.5867554,403.9418027,120.2249019,51.83585561,46.80351063,1
3,1,1,700.7551134,408.1848563,830.9347708,435.1705668,60.76509553,109.4158633,127.3045882,1
2,3,2,702.3538242,443.7577966,854.4042279,408.4533092,160.2856223,15.93494274,160.0544908,1
3,1,3,689.206798,447.9444136,846.3067366,437.3238868,19.86362652,115.3292261,22.80064656,1
3,1,1,707.1767587,405.5190099,852.2740482,423.4519434,42.26884465,132.2923575,130.5839761,1
2,3,3,685.7687801,449.4037707,830.4266633,413.1631694,123.3051251,66.17752532,66.16543262,1
2,1,1,693.5654504,450.0436459,832.2516747,406.4388046,41.21158536,115.5493117,116.2813267,1
3,1,3,682.9356949,450.203385,831.1439509,418.6605003,42.72714355,72.95677558,48.07066878,1
1,3,1,706.1452758,417.0354457,833.2489026,451.0611367,125.055395,19.75590913,128.1520755,1
1,3,3,687.6422862,443.0908745,829.0425698,427.4921254,138.4124875,71.28121414,49.0347847,1
2,1,2,701.6362197,408.0212596,847.5001237,408.3296928,109.7742905,56.8460589,117.0470468,1
3,2,2,697.6894585,408.5954115,831.5419962,406.3100219,118.0031715,19.58722889,28.44054497,1
3,2,3,699.6902503,411.8037547,843.5606624,413.5699739,30.28523373,160.726033,22.34693616,1
3,2,3,695.6180911,410.637028,836.7760117,439.8398246,164.4840739,127.2087392,163.7586947,1
2,3,2,682.0718535,425.7528533,847.1546899,462.9014529,30.67776415,71.42387735,25.6436797,1
1,2,1,690.6776657,448.5191956,832.5117512,455.7511118,111.7209505,27.78656499,127.8155349,1
1,3,3,694.8576205,438.2393723,851.3078548,421.4599252,123.3964276,52.94675408,53.18450047,1
1,3,1,691.8813739,407.9918566,840.0219621,401.563777,64.72913724,133.6581658,43.4037053,1
2,3,3,706.7942059,429.3047254,854.2004644,415.3906174,57.15370492,117.6642241,125.6779589,1
1,2,2,699.0836921,413.5784451,840.9712962,406.3051992,136.678929,19.06567501,36.47148948,1
3,1,1,705.0429025,444.9729476,842.4636298,409.8297841,31.50175273,119.877699,119.8691414,1
3,1,1,694.7012646,434.9727642,837.1233416,425.5283682,122.3521017,21.63366324,19.50186773,1
1,2,2,706.11318,458.9502244,832.5783463,450.8581047,32.53279685,117.66598,137.1478839,1
2,1,2,686.4027455,449.1090887,829.7972384,442.9569399,46.37047261,135.3503509,33.5042503,1
2,3,2,702.8519229,452.1305455,836.8879802,450.500705,115.5709491,70.3371748,120.2452778,1
3,1,3,697.6732846,463.8082094,837.9420623,414.3469759,114.41905,156.0149815,117.8490215,1
1,2,1,683.9812405,426.9511842,828.7037796,411.7824185,108.8983155,69.70417767,129.7155053,1
3,2,2,700.5584314,411.3187237,843.9887244,461.2725774,66.66528357,151.4808157,154.1064407,1
