Lshape,Rshape,Label,unknown,t1X,t1Y,t2X,t2Y,angle1,angle2,probeAngle,RT,subject
2,3,2,1,614.7434709,379.0229923,742.0422821,361.4979079,20.01649595,115.6215373,15.43946585,2.474897308,1
2,1,1,2,605.3850859,365.6324317,737.075595,392.9995821,42.26038441,16.56486119,9.034447713,3.044706201,1
1,2,2,1,618.6752223,398.44749,743.4080201,366.7704359,116.5942734,27.57579924,29.73550867,3.747152291,1
1,3,3,2,628.2346493,383.747123,755.392817,380.8439395,33.03200803,66.54194652,49.73567499,2.191742698,1
3,1,3,1,617.7692891,401.3053908,756.4406927,392.7261334,55.14290496,145.3130781,40.37218765,1.991089973,1
3,1,1,1,613.7681776,405.9287403,759.475039,387.3589115,146.0844825,55.42797071,38.84950172,5.001507241,1
3,2,2,1,612.5311583,369.1378251,747.7730837,404.1256012,105.6680468,21.51320096,17.49528579,3.061386711,1
2,1,2,2,610.6916074,373.7328303,746.8924671,408.6326396,40.66592058,67.0092768,45.40414783,2.810475873,1
1,3,3,2,611.4516174,389.9090762,746.2179962,370.9460696,33.26693762,64.37739975,53.65686179,2.158244013,1
3,2,2,1,607.9354413,374.1703632,743.4168968,380.1775053,128.0188405,43.5839058,47.75716569,2.827224684,1
3,2,3,1,605.7305069,397.6288592,759.2213535,383.8507115,15.39284348,111.4131359,13.17050122,2.492662862,1
2,1,1,1,629.0772135,385.7047424,749.670143,369.20088,42.71104436,131.8880209,148.1779549,5.001480345,1
1,3,1,2,627.1292002,401.3824808,758.8321707,361.6265999,112.3308159,149.3117066,134.0374237,2.84391935,1
2,3,3,2,622.875927,406.7825827,758.593014,375.047294,60.36423119,38.04009333,32.37491665,3.931122383,1
2,3,2,2,623.6018565,383.355562,748.5005609,407.5691676,35.6057688,73.1624931,56.99733297,2.124916967,1
1,3,1,1,619.4180379,369.6761246,740.5730617,406.5311802,111.1799501,15.07016164,120.573483,3.529692716,1
3,2,3,1,622.8173618,382.8520373,748.5117906,359.3982755,30.22688622,129.8004992,25.63943808,5.001451325,1
1,2,1,1,625.4386773,364.5423302,754.0609898,393.5974994,17.41140464,113.7743757,15.17189885,2.593157855,1
1,2,1,2,608.3292752,378.2834547,740.3347153,403.3886453,116.8184687,150.1408835,125.6672878,2.225254831,1
3,1,1,1,615.4199867,391.7944815,752.4214973,372.6430926,71.86639871,162.4039153,163.8330234,4.098390731,1
2,1,2,1,614.3102435,383.9121954,740.9529601,375.3511246,30.09031378,112.2146407,13.4326093,3.747195467,1
1,2,1,2,608.20036,365.7539008,760.9770099,357.8582468,132.8144572,158.5638608,139.2239959,2.593172719,1
3,2,3,1,609.7608317,382.2613784,745.2229137,411.9533632,158.7359701,65.35246399,154.328099,5.001444247,1
2,3,3,2,629.566585,375.6009892,754.2562198,389.291952,153.9941051,128.0440037,39.7553803,5.00159253,1
2,1,1,1,625.444014,389.8783063,742.5182,357.2832178,163.1354671,65.54239263,53.3051864,2.140393879,1
3,2,2,2,622.9589736,386.2860327,760.2162333,374.5333039,56.28939963,30.69090181,43.71258407,2.643304492,1
2,3,3,2,611.6617873,372.0173022,739.8414179,381.0848529,109.9725586,142.7066957,156.1428548,3.195252634,1
2,1,2,1,628.5905656,410.5885546,751.9427275,369.720301,157.5668877,67.20584558,156.7224461,2.442633011,1
3,2,2,1,622.3785125,370.5230389,737.6998192,368.7702818,52.0316229,145.4677862,150.9566545,3.780554009,1
2,1,1,1,624.5129913,356.3827729,752.8833016,390.3237178,151.9905882,65.10133995,61.33542389,2.643282197,1
3,2,3,2,613.0617952,382.8673578,755.6184824,358.0384758,164.8784239,143.2656457,169.1174883,4.064904432,1
1,2,2,2,613.5281152,366.9294796,751.1847303,398.0903299,129.916446,157.69875,162.456992,3.278816559,1
3,2,3,2,609.7165494,361.1934674,743.1874543,388.8439347,48.4310856,27.19108427,47.26726487,2.8271716,1
2,1,2,1,621.9754189,409.8749244,751.8946678,367.9092906,115.9997007,23.04734805,152.5856341,5.001472913,1
2,3,3,1,620.1825985,382.1473531,747.2534424,393.7308509,42.52150386,124.9094288,146.6057103,4.566651437,1
1,2,2,2,625.8229205,390.967262,742.4110248,389.1882024,63.03924242,35.6849102,46.81478674,3.412658063,1
1,3,1,2,621.1387969,392.4410668,747.9865806,387.0488183,156.5893858,121.4030282,149.7462296,3.395929423,1
1,2,1,1,629.8426156,362.0305016,741.4669158,362.2527555,129.7883917,39.33848559,131.6718274,4.382705057,1
