Loc1,Loc2,Loc3,Label,ISI,angle1,angle2,angle3,probeAngle,subject
4,3,1,1,1.6,124.4615578,20.86654678,64.7321026,62.77537909,1
1,2,4,1,1.6,133.1153551,64.35416782,164.1242037,120.8402316,1
2,3,4,2,1.6,124.4140613,47.04795706,161.2633571,120.541768,1
3,4,2,3,1.6,150.5111257,117.1133907,19.92701251,131.117538,1
1,3,4,3,1.6,111.7032545,31.73396504,59.72603883,27.01459632,1
2,4,3,2,1.6,26.19834941,52.37077154,73.14901226,26.79278354,1
3,2,4,2,1.6,138.5868741,39.02993298,18.49170173,44.50669869,1
1,4,2,1,1.6,17.7808988,55.52456999,119.3508677,24.19016948,1
4,1,2,2,1.6,58.25798184,110.4956578,143.602979,133.8616773,1
4,2,3,3,1.6,57.27363921,140.4815949,110.633255,112.6247691,1
2,1,4,1,1.6,119.1780168,41.63576785,15.46550728,38.83119085,1
4,3,2,3,1.6,39.12241471,71.51785153,151.0216501,45.65546843,1
4,1,3,1,1.6,33.92437471,140.3350999,109.9486709,149.798287,1
1,4,3,3,1.6,110.6604048,73.60072795,21.10729306,33.30311018,1
3,4,1,1,1.6,44.70394456,130.2624871,67.07236694,58.0880612,1
4,2,1,2,1.6,61.7123175,118.6814132,138.985711,141.4760015,1
2,4,1,2,1.6,151.6314141,121.6799773,59.56978243,153.4540726,1
3,1,4,3,1.6,162.5893027,17.76329524,39.14957696,164.7931933,1
1,2,3,3,2.6,121.7714113,161.7999936,17.9088248,162.2866677,1
3,2,1,1,2.6,124.7964295,164.206815,55.92235826,48.20039464,1
2,1,3,3,2.6,29.25903249,137.6857321,158.6039042,132.8166679,1
3,2,1,3,2.6,62.37469638,132.6188183,164.1910219,32.83574739,1
3,1,2,1,2.6,31.71048127,128.7023028,106.0883068,139.986578,1
2,3,1,1,2.6,50.25778429,123.078188,146.0305932,124.6630598,1
2,3,1,2,2.6,60.92020207,138.5955492,36.55321316,50.56776178,1
1,3,2,3,2.6,63.41943001,110.4691065,22.04298819,118.8296518,1
1,3,2,2,2.6,114.7502226,44.70436556,144.3831124,130.9063757,1
2,1,3,2,2.6,15.93287713,66.15600617,153.4551463,12.49159118,1
2,1,3,1,2.6,106.1302004,26.33771416,67.78362871,16.25588092,1
3,1,2,2,2.6,36.11131434,150.5213525,130.1487002,126.7827229,1
1,2,3,1,2.6,53.07210552,31.21557602,158.1219788,44.01211319,1
2,3,1,3,2.6,111.4345542,160.9093371,37.62959434,161.6477985,1
3,2,1,2,2.6,32.31837656,154.0896159,127.3763527,145.4429315,1
1,3,2,1,2.6,27.75008847,116.1311081,156.1844621,23.6696392,1
3,1,2,3,2.6,106.4082635,161.956356,133.7460559,167.5453053,1
1,2,3,2,2.6,46.01321249,164.1420165,132.9632796,168.2448263,1
4,2,1,1,1.6,116.0981555,39.27678771,137.1853618,126.0455435,1
4,3,2,2,1.6,57.42383603,118.2681067,28.34028561,8.612078243,1
2,4,1,1,1.6,112.8422716,153.3630553,43.88965138,45.36473022,1
2,3,4,3,1.6,129.4183086,59.84967787,158.5007117,52.57247173,1
1,4,2,2,1.6,150.1468815,27.3267023,107.742155,113.7019697,1
1,4,3,1,1.6,48.11127698,142.0739553,110.9904197,37.79402761,1
3,4,1,3,1.6,39.93644364,134.6725619,156.8742071,27.52656166,1
3,1,4,1,1.6,59.02308935,36.00506622,154.5290519,30.50626068,1
1,2,4,2,1.6,159.9404659,105.339845,131.1183703,116.6359615,1
1,3,4,1,1.6,135.6727197,51.06782266,19.90384025,132.621332,1
4,3,1,3,1.6,109.404083,136.8566888,29.49525551,141.1652733,1
3,2,4,3,1.6,150.8070465,43.73583915,109.3461577,139.131713,1
4,1,2,1,1.6,51.34203819,119.9672112,27.91662647,140.3998856,1
4,2,3,2,1.6,113.2339401,71.73321486,136.4482014,51.160713,1
4,1,3,3,1.6,136.7897603,29.91714488,68.14690049,62.43380296,1
2,4,3,3,1.6,29.04005846,159.5467054,136.5447853,121.348826,1
2,1,4,2,1.6,25.11692334,128.0844293,158.2691463,28.27184774,1
3,4,2,2,1.6,42.06354229,112.6636912,142.5198689,132.0634715,1
3,1,2,3,2.6,33.76051814,154.8237105,133.82489,29.29085592,1
2,3,1,2,2.6,120.887127,36.79979455,72.90290444,136.7807388,1
2,3,1,1,2.6,140.413882,115.8940497,68.53499479,64.24976037,1
1,2,3,1,2.6,105.8714083,44.31393196,71.70952737,121.5334917,1
2,1,3,2,2.6,15.59323148,37.38229018,60.14284955,13.83947423,1
3,2,1,3,2.6,59.20501877,22.4489805,133.2229103,62.13924209,1
2,1,3,3,2.6,68.19778589,147.1762938,43.00490146,54.95673216,1
2,1,3,1,2.6,43.45780002,125.2755986,69.14969483,135.6654026,1
1,3,2,2,2.6,34.04234073,108.0629316,60.84113289,47.6690343,1
3,1,2,2,2.6,127.8973112,39.25626026,74.61034658,61.52035637,1
1,2,3,3,2.6,56.06489447,119.9820072,144.5547036,129.8618065,1
3,1,2,1,2.6,37.13817246,72.40311356,155.2648683,26.60304933,1
3,2,1,2,2.6,113.9764509,26.41993138,72.56103444,18.54311631,1
3,2,1,1,2.6,35.4812999,138.1283911,117.4901597,129.5674018,1
1,3,2,3,2.6,68.83298258,34.21439672,122.3886246,20.22610459,1
1,3,2,1,2.6,117.5623729,27.54734212,69.18643425,123.8103279,1
1,2,3,2,2.6,71.38595114,136.9702107,29.30122476,138.8038987,1
2,3,1,3,2.6,149.5316006,64.20814548,26.03837312,51.93798616,1
1,4,3,3,1.6,20.25166198,45.9151015,146.3599584,131.8243684,1
1,4,2,1,1.6,56.70367856,107.7810419,153.7187423,36.0474939,1
2,4,3,2,1.6,139.8881418,106.4148778,62.07393775,125.4136659,1
2,4,1,2,1.6,141.3884116,32.94096826,111.3072282,128.8407518,1
1,2,4,1,1.6,143.1323925,61.99176305,23.91476458,135.7345114,1
4,1,3,1,1.6,154.0050629,63.23945431,18.40238315,48.54877058,1
3,4,1,1,1.6,141.2196091,112.6166388,32.48837979,44.71599167,1
4,3,1,1,1.6,29.76214998,129.0785248,70.89587656,60.64522225,1
2,3,4,2,1.6,61.86388135,163.5427475,125.5799414,41.38650991,1
