loc1,loc2,suffix,Label,angle1,angle2,angle3,probeAngle,subject
2,3,4,2,125.093956,59.17350051,158.6745856,129.2888849,1
2,1,4,1,156.2359775,44.76524114,73.6912558,36.75763879,1
1,2,5,2,23.95084543,49.25159076,146.8507905,48.23434212,1
1,3,4,3,67.64318934,135.5714395,26.32149106,134.975538,1
3,1,5,3,124.3831569,52.31840413,19.82053497,129.5384252,1
3,1,5,1,153.7920734,120.3265916,35.61297378,129.6909096,1
3,2,5,2,155.8439651,34.97189521,105.1746078,31.37630212,1
2,1,4,2,28.64837647,105.1229508,131.2660305,41.1541419,1
1,3,4,3,116.8935954,32.53372052,68.85498383,40.65406155,1
3,2,4,2,132.019568,163.3715551,50.4936207,27.29978796,1
3,2,5,3,43.6948051,125.7071138,161.5512029,38.82689529,1
2,1,5,1,58.82470688,124.8703924,38.21391807,126.4865627,1
1,3,4,1,44.11716245,118.2566495,146.3401949,48.70304476,1
2,3,4,3,56.05648473,117.500536,148.5737828,126.3210268,1
2,3,5,2,160.7705799,54.51520896,34.0922251,155.5764144,1
1,3,5,1,158.8128881,127.6070868,47.64240468,152.7823925,1
3,2,5,3,67.01410106,115.0058137,44.62469447,50.54833898,1
1,2,4,1,159.8681385,39.00506141,110.2432993,150.1331472,1
1,2,5,1,45.69303257,139.0383875,74.4880613,51.40761117,1
3,1,4,1,145.7947863,22.39118141,45.01584007,34.76611135,1
2,1,5,2,139.0160856,111.2136601,70.56888062,123.549348,1
3,1,5,3,19.7917662,148.9070018,49.16803085,35.05740693,1
2,3,4,3,50.02232153,120.829363,19.22579374,133.514036,1
1,2,4,2,117.8657191,32.80370824,160.8835419,17.04591212,1
2,1,4,1,138.6458632,164.3191311,72.37105572,154.2362557,1
3,2,4,2,19.91788903,141.4405706,110.3951927,152.0248356,1
2,3,5,3,159.7830797,116.7076523,37.26127001,126.0337592,1
2,1,5,2,112.5084745,140.904791,28.46351427,121.1778502,1
3,2,5,2,150.2223963,72.19534267,116.3485798,44.16221454,1
2,1,5,1,35.14271217,135.4658314,162.3961653,138.6673857,1
3,2,4,3,120.6775703,29.8116938,141.1607851,129.0611249,1
1,2,4,2,150.1279078,52.18061926,108.4122848,39.66637435,1
3,2,5,3,138.9270371,18.10335319,58.01805862,136.0143182,1
2,1,5,2,15.49973984,39.97254555,123.1500092,24.34955127,1
2,3,4,3,68.0651603,137.5094836,158.16402,135.0997,1
1,2,4,2,123.709248,37.09502921,15.94500203,41.35279424,1
1,3,5,1,152.1195895,20.11704028,50.40342864,145.2210588,1
1,2,4,1,137.9597385,27.62347077,52.5252261,141.0182533,1
1,2,5,1,152.6808033,28.05867912,125.1386152,153.0959613,1
2,3,4,2,156.0381349,24.80121473,58.5204269,146.2586696,1
1,3,4,3,24.88454532,155.9773112,72.20809808,137.5709946,1
1,3,4,1,121.7265857,22.6167097,67.97448945,137.456556,1
3,1,5,3,35.02577375,74.6523077,141.7740557,28.08755294,1
1,3,4,3,117.1066155,46.72921101,69.94103055,28.95162291,1
3,1,5,1,110.7929786,20.42259144,55.34996874,12.86520596,1
2,3,5,2,29.28343629,126.0824666,156.4645582,25.89275176,1
3,1,5,3,126.2287572,60.89288807,39.75473991,133.8949392,1
3,1,4,1,44.90012891,72.13224366,155.0326923,50.75835619,1
2,3,5,3,18.99080741,59.08876617,146.9084636,53.94885725,1
2,1,4,1,28.2505094,140.215849,64.55266618,135.4357887,1
3,1,4,3,33.90821509,121.603148,156.1527435,43.75659835,1
1,3,5,1,55.035009,147.8697557,26.11397309,41.33782501,1
1,3,5,3,138.695485,52.36186579,16.79714915,44.89991765,1
2,1,5,2,110.3159754,50.32329716,142.8207581,99.02639437,1
3,2,4,2,25.29462182,164.4384049,56.33236588,155.8978035,1
3,2,4,3,64.63364229,150.5012564,35.66566601,37.0661331,1
3,2,5,3,124.5633877,25.09524954,149.6455246,121.6993121,1
2,3,5,2,60.66662667,138.4229882,24.30657797,46.94410944,1
1,2,5,1,32.64487495,107.2005446,135.8186579,38.57549099,1
1,3,4,3,44.61199618,129.8959821,155.0947289,127.3473595,1
1,3,4,1,137.1619967,158.3867177,47.8172016,125.6368671,1
2,3,4,3,57.95811104,119.2772114,153.2859692,115.5131649,1
1,2,4,2,122.2753843,61.89378992,161.5791974,45.03755109,1
3,1,5,1,72.18837703,151.3199005,29.92536357,120.1890633,1
3,1,4,1,116.3405947,138.9895712,162.8866708,124.0263223,1
1,2,5,2,155.2049489,69.56719921,118.2245879,37.2546655,1
2,1,4,2,119.997684,31.75842096,60.02047962,-41.45485034,1
2,3,4,2,33.29988968,148.7741735,123.9025155,45.02218842,1
3,1,5,3,42.0866702,146.211456,73.65085768,43.6376088,1
1,2,4,1,44.31218822,155.4490335,105.5080853,40.02460618,1
3,2,5,2,109.0847563,72.7303106,42.96627702,54.38559862,1
2,1,5,1,151.2890502,119.8378481,45.60374904,117.3681847,1
2,3,5,3,145.1647184,31.16247993,69.86713428,23.11022285,1
3,2,4,3,62.40012174,152.1465643,120.2878031,46.45362044,1
1,3,5,1,26.95708644,144.1994115,114.1361227,30.39294711,1
1,3,4,3,151.8205798,53.16898572,16.67829814,37.3505925,1
3,1,4,1,74.23045665,151.6554648,31.1506199,136.7668146,1
2,1,4,1,31.33311929,139.8880466,55.16166459,130.0454593,1
2,3,4,2,122.7798663,156.9990238,66.6590046,116.7039329,1
2,3,5,3,63.03661181,23.19753202,107.5369391,29.13420555,1
3,2,5,2,28.26323929,148.8516684,58.69154503,143.1370898,1
1,2,5,1,73.75705441,150.6340989,53.45910487,59.93359962,1
2,1,5,2,122.725091,50.18507077,147.7129566,112.8783596,1
1,2,4,1,136.9227442,28.44106257,50.80350015,132.6838976,1
3,1,5,1,119.5679724,17.17174976,66.9081435,20.53254214,1
1,2,4,2,161.1933607,35.48730575,115.2858703,23.80102662,1
3,1,5,3,118.3528403,17.05097416,55.79974114,112.1980766,1
1,2,5,2,71.49501934,115.9408917,27.99723847,110.0935043,1
3,1,4,3,70.2093851,145.3903982,15.36943785,60.75325065,1
1,3,4,1,160.0256985,56.8017783,112.7482941,151.9078936,1
3,2,4,3,73.82706039,125.1010377,38.75342835,53.57691414,1
1,3,5,3,70.84507847,113.301407,31.87071547,126.2117353,1
2,1,5,1,23.60368201,125.4561292,71.92646972,111.1847659,1
3,2,4,2,144.4521305,69.4949483,108.8996218,58.98232195,1
2,3,5,2,19.52961552,126.8862666,152.5856664,34.20921113,1
2,1,4,2,56.51937845,125.8966331,150.1717506,43.00490915,1
3,1,5,1,126.8397999,41.04181259,149.3515441,36.6774988,1
1,2,4,1,35.430327,151.6693639,67.45807872,29.33885502,1
3,2,4,2,145.3882215,22.40351089,108.5405029,16.97545545,1
1,3,4,1,158.429621,116.519981,16.06165952,158.9757207,1
3,2,5,2,28.55303401,131.1422571,63.51947298,126.4174877,1
3,2,5,3,39.27801834,149.4590878,61.86164508,41.38664528,1
2,3,4,3,69.70534599,118.7554997,159.4658928,125.3198076,1
2,1,5,2,63.57780174,33.26621729,106.4556477,71.63711316,1
3,1,5,1,137.3981889,161.5932151,16.1032181,153.0208761,1
1,3,4,3,145.2506394,122.8041003,68.38266652,105.0871231,1
1,3,4,1,150.2319901,32.44310396,107.5851077,140.5107539,1
3,1,5,3,138.005463,39.27699268,63.21662026,146.1597785,1
1,2,4,2,151.3882252,27.99597544,55.00068318,22.08896511,1
2,1,5,1,142.6298532,117.1831713,53.63655156,117.1769372,1
1,2,4,1,58.55282558,114.0380813,160.4405438,54.99228256,1
2,3,4,2,46.61934406,136.0010349,70.15999757,47.21374019,1
1,3,4,3,152.9399013,23.11714521,45.50376342,15.20828511,1
3,2,5,3,59.38811461,156.7933571,30.14617001,41.34470516,1
1,2,5,2,62.09834411,137.417351,107.0954505,133.7144815,1
2,1,4,2,60.55255815,136.5485011,164.7520723,36.77631833,1
2,3,5,2,153.2825002,60.1961975,110.4078045,143.2236148,1
2,1,5,1,63.77911634,138.7356737,18.98698278,135.5522947,1
3,1,5,3,66.18652792,124.2682149,164.8999784,67.51118309,1
2,3,4,3,74.80993567,54.45442475,24.65619467,36.64051868,1
2,1,4,1,69.11233981,138.8582094,38.96129344,115.4876872,1
2,1,5,1,105.9524764,147.3207328,29.66663806,139.959101,1
1,2,5,2,54.68191477,148.8801268,118.4826102,147.463504,1
1,2,4,2,143.658572,48.49924555,106.0629966,56.46179139,1
3,1,4,3,74.42131686,160.1895611,16.83404552,54.39669326,1
2,3,4,2,60.59123691,153.6430078,114.5338295,60.66042956,1
1,3,5,1,22.45900193,155.3694922,48.09077778,22.5082059,1
1,3,5,3,52.45358285,154.7691455,16.04318379,142.481369,1
3,2,5,2,158.9166083,107.0299925,61.31959032,121.538563,1
1,2,4,1,134.7745405,71.74663928,40.95168478,136.6591222,1
2,1,5,2,66.84829719,21.28983099,123.5751808,26.57740342,1
3,2,4,2,55.66727433,25.80244071,144.7508647,15.44415168,1
3,1,4,3,18.62492296,149.366923,45.50350666,18.22764694,1
1,3,4,1,27.52272521,69.68719115,118.5656224,20.15631756,1
3,1,5,1,48.36058924,70.76802126,133.5798172,74.09587051,1
3,2,5,3,65.78300106,137.7133305,159.0349057,75.21635819,1
