Subject,pSelf,pFriend,pStranger,bSelf,bFriend,bStranger,,,
101,2.106067244,2.258421625,1.942093116,-0.100516614,-0.005763693,-0.097121375,,,
102,2.108811372,2.363440105,0.956248573,-0.131226265,-0.020747752,-0.13505994,,,
103,1.163976625,1.033121585,1.286797032,0.005029134,-0.059871398,0.060123319,,,
104,2.769238202,1.328854665,1.788315221,-0.07773712,-0.177055307,-0.01947889,,,
105,1.859884478,1.69579136,1.522186119,0.034104113,0.038641217,0.018279354,,,
106,4.422133133,2.993900394,2.622624777,-0.041830997,-0.073311405,-0.092471702,,,
107,2.492825951,2.120135721,2.775046938,-0.067896099,-0.091444316,-0.097094904,,,
108,1.698376866,1.80454918,1.948698715,-0.016446997,0.010581119,-0.101176528,,,
109,3.253644625,2.145270228,2.107757574,-0.043192504,-0.108474049,-0.025694088,,,
110,2.064018676,2.482627678,1.065086006,0.015248018,-0.002910969,0.052656184,,,
111,1.809829747,1.063803573,1.732880612,0.00933218,0.147328132,-0.081399941,,,
112,2.346369292,1.384906742,2.348205763,-0.012085907,0.054945905,-0.039640348,,,
113,1.43770209,1.068925302,1.736433581,-0.046687673,0.05480106,-0.088494026,,,
114,1.961385224,0.823959148,1.161139459,-0.046054487,-0.101784288,-0.074855182,,,
115,2.518444513,2.365290824,1.519749354,-0.034431626,-0.17371559,-0.049314917,,,
116,2.329306922,2.324892718,2.06355015,0.041994184,0.006314698,0.041747875,,,
117,2.036303486,1.791112651,1.342332049,-0.031818423,-0.072156557,0.019315676,,,
118,1.409348857,1.235813934,1.393068132,-0.025240154,-0.208750948,-0.168643115,,,
119,1.595839689,1.595048673,1.248922173,-0.050660487,-0.11449757,0.012450089,,,
120,1.880332024,0.966931404,1.619084295,-0.032088471,-0.060544397,0.058855592,,,
121,1.44026409,1.566545652,1.06496686,0.00244287,-0.020863635,0.048033256,,,
122,2.855682079,2.966727986,2.41530455,0.063449514,-0.039302885,-0.102155894,,,
123,1.799483583,1.776158918,1.752227409,-0.117188333,-0.140138156,0.036866134,,,
124,2.047452935,2.16896607,1.874688392,-0.013865922,0.010945399,0.1131651,,,
125,1.830566691,1.829598327,1.762495735,-0.133629261,-0.144385311,-0.046707192,,,
126,2.515088637,2.253973276,2.687356652,0.041359106,-0.008205955,-0.028925292,,,
127,1.791062822,1.875749216,1.863569145,-0.063485326,0.052023561,0.048084016,2.13,1.83,1.76
201,2.00192661,1.650670473,1.281797835,-0.056747333,0.091637111,0.025826438,,0.005750455,0.001324476
202,1.431154256,1.238753702,1.253182975,-0.195590625,-0.084824645,-0.039226499,,,
203,1.948103518,1.507663681,1.754018604,-0.032301213,-0.007041452,-0.035517865,,,
204,1.779935832,1.745171782,1.885312167,-0.040890167,0.017010596,-0.03195502,,,
205,2.533766951,1.348868811,1.383292033,0.040313195,0.045170439,0.086611354,,,
206,1.273944779,0.988739383,1.370951161,-0.089881285,-0.015835295,-0.144416499,,,
207,2.186191562,1.596566254,1.949196279,-0.059326005,-0.029220638,0.02228282,,,
208,4.041123318,3.616269567,3.354679609,0.020106563,0.011747959,-0.048562163,,,
209,2.720931285,2.911273365,1.667493405,-0.06838242,-0.081287948,-0.10626638,,,
210,1.639903264,2.15617056,2.170406195,0.01217483,-0.037263695,-0.092203872,,,
211,2.050089087,2.208439197,2.342946865,0.037356507,0.033865629,0.083546635,,,
212,1.158116091,1.090318857,1.247425232,-0.080272707,0.001696953,-0.086427841,,,
213,1.322510208,0.844582544,0.702821235,-0.156177736,-0.057389949,0.029754703,,,
214,2.297591119,2.325789554,2.26487917,-0.044908955,-0.017813153,-0.015896038,,,
215,2.73704524,2.028638902,2.218527191,-0.086251557,-0.139956066,0.020424275,,,
216,1.14482551,1.208706841,1.108319879,-0.059207971,-0.072278513,-0.098901059,,,
217,1.373361946,1.116318212,0.972607917,0.00478998,-0.036419802,0.023649619,,,
218,1.444516569,1.261502069,1.303113762,-0.107485884,-0.074350997,0.068232593,,,
219,2.387949319,2.377347644,2.590832693,0.03023537,-0.048087708,-0.071779118,,,
220,1.599118758,1.295160753,1.452272208,-0.034638486,-0.139411065,-0.046774004,,,
221,1.950713149,1.26052765,1.632199653,0.008806836,0.000724243,-0.10202413,,,
222,2.312685587,1.922911732,1.527876466,-0.097721056,-0.058208295,-0.095961847,,,
223,2.107242144,1.870641223,2.246725186,-0.046732408,-0.062552665,-0.043045412,,,
224,1.314434405,1.801965573,1.377611128,0.109555381,-0.039564173,-0.049686093,,,
225,1.214205477,1.053000589,1.121119277,-0.015092367,-0.007382181,-0.011843463,,,
227,2.304091407,2.842150928,2.475674948,0.034414455,0.001886178,0.042782812,,,
228,2.096679801,1.751626914,1.643744535,-0.045639603,-0.106364223,-0.070752032,,,
229,1.797457238,1.550168338,1.747330631,-0.053195985,-0.0363136,-0.095970182,,,
301,1.856395733,1.858372857,1.221912868,-0.034149471,-0.027594673,-0.100621849,,,
302,2.018865758,2.830154145,2.145527121,0.104379236,-0.005497702,0.052533716,,,
303,2.151417832,1.455528022,2.088368428,0.073263628,-0.028233832,0.02195078,,,
304,1.551256742,1.260438614,1.060997687,0.034148889,0.009463233,-0.062409494,,,
305,2.356277723,2.656390984,1.84486096,-0.055207183,0.033430214,-0.061050848,,,
306,2.784344,2.570157364,3.101716182,-0.048661571,-0.06315062,-0.055293507,,,
307,3.870969926,1.50844498,1.864988359,-0.002980987,0.020338231,0.035523653,,,
