SN,Matching,Label,Response,Correct,RT
1,Match,Self,Match,1,4161.399999999812
1,Nonmatch,Self,Nonmatch,1,1185.300000000003
1,Match,Self,Match,1,1288.8999999994412
1,Match,Self,Nonmatch,0,870.5999999994383
1,Nonmatch,Self,Nonmatch,1,2027.2999999998135
1,Nonmatch,Stranger,Nonmatch,1,1314.0999999992564
1,Match,Stranger,Nonmatch,0,849.399999999252
1,Match,Self,Match,1,1122.699999999444
1,Match,Stranger,Nonmatch,0,894.8999999998196
1,Nonmatch,Stranger,Nonmatch,1,1226.699999999444
1,Nonmatch,Stranger,Nonmatch,1,1425.3999999999942
1,Nonmatch,Stranger,Nonmatch,1,1113.3999999994412
1,Match,Stranger,Nonmatch,0,848.7999999992608
1,Nonmatch,Self,Nonmatch,1,1174.999999999258
1,Nonmatch,Self,Nonmatch,1,653.499999999447
1,Match,Stranger,Nonmatch,0,554.5999999998166
1,Nonmatch,Self,Match,0,1643
1,Nonmatch,Stranger,Nonmatch,1,896.1999999994441
1,Nonmatch,Self,Nonmatch,1,1165.5
1,Match,Stranger,Nonmatch,0,1205.699999999444
1,Match,Self,Nonmatch,0,813.1999999998079
1,Nonmatch,Stranger,Match,0,1442.8999999998196
1,Nonmatch,Self,Nonmatch,1,1035.199999999255
1,Match,Self,Nonmatch,0,1076.9999999998108
1,Match,Self,Nonmatch,0,2196.9999999996217
1,Match,Stranger,Nonmatch,0,1730.5999999994383
1,Match,Stranger,Nonmatch,0,1540.999999999258
1,Nonmatch,Stranger,Nonmatch,1,1194.2999999992608
1,Match,Self,Nonmatch,0,2334.899999999994
1,Match,Self,Match,1,1894.699999999997
1,Match,Stranger,Nonmatch,0,1311.3999999998196
1,Nonmatch,Stranger,Nonmatch,1,1646.4999999992433
1,Match,Self,Nonmatch,0,1409.7999999992608
1,Match,Self,Match,1,835.2999999994354
1,Nonmatch,Self,Nonmatch,1,1196.2999999992608
1,Nonmatch,Self,Match,0,1508.0999999994528
1,Match,Stranger,Nonmatch,0,920
1,Match,Self,Nonmatch,0,1585.4999999992433
1,Match,Stranger,Nonmatch,0,1761.6000000000058
1,Nonmatch,Self,Match,0,1741.099999999802
1,Nonmatch,Stranger,Nonmatch,1,1688.3999999992666
1,Nonmatch,Stranger,Match,0,2770.199999999255
1,Nonmatch,Stranger,Nonmatch,1,787.1999999992549
1,Nonmatch,Stranger,Nonmatch,1,638.3999999996158
1,Match,Self,Nonmatch,0,715.7999999998137
1,Nonmatch,Self,Match,0,673.3999999992666
1,Nonmatch,Self,Nonmatch,1,915.0999999992492
1,Match,Self,Nonmatch,0,864.3999999994412
1,Match,Self,Nonmatch,0,1492.9999999992433
1,Nonmatch,Self,Nonmatch,1,1795.1999999996333
1,Match,Stranger,Match,1,1791.2999999998135
1,Match,Self,Nonmatch,0,1436.699999999808
1,Nonmatch,Stranger,Nonmatch,1,2366.600000000006
1,Match,Self,Nonmatch,0,1681.8999999999942
1,Nonmatch,Stranger,Nonmatch,1,943.3999999994412
1,Match,Self,Match,1,1390.9999999998254
1,Nonmatch,Self,Nonmatch,1,1804
1,Match,Self,Nonmatch,0,954.099999999802
1,Match,Stranger,Match,1,2149.999999999971
1,Nonmatch,Stranger,Nonmatch,1,1322.7999999999884
1,Nonmatch,Stranger,Nonmatch,1,865.0999999999767
1,Match,Stranger,Match,1,2347.399999999441
1,Match,Stranger,Nonmatch,0,1912.8999999999944
1,Nonmatch,Stranger,Nonmatch,1,1383.999999999447
1,Match,Stranger,Match,1,1899.9999999996217
1,Nonmatch,Self,Nonmatch,1,1558.9999999992433
1,Match,Stranger,Nonmatch,0,1226.1000000000058
1,Nonmatch,Stranger,Nonmatch,1,1556.2999999999884
1,Nonmatch,Self,Nonmatch,1,1245.299999999639
1,Nonmatch,Stranger,Nonmatch,1,1156.1999999996333
1,Nonmatch,Self,Nonmatch,1,1140.7999999999884
1,Match,Self,Match,1,2695.0999999996275
1,Nonmatch,Self,Nonmatch,1,1680.9999999996508
1,Nonmatch,Self,Nonmatch,1,643.4999999996508
1,Nonmatch,Stranger,Nonmatch,1,1541.8999999997905
1,Match,Stranger,Match,1,1046.2999999998135
1,Nonmatch,Stranger,Nonmatch,1,610.9999999998254
1,Nonmatch,Stranger,Nonmatch,1,458.9999999992433
1,Match,Stranger,Match,1,1151.499999999418
1,Match,Self,Nonmatch,0,682.4999999998254
1,Nonmatch,Self,Nonmatch,1,728.0999999992782
1,Match,Stranger,Match,1,918.5999999994528
1,Match,Self,Match,1,902.5999999992782
1,Nonmatch,Stranger,Nonmatch,1,665.3999999997905
1,Match,Stranger,Nonmatch,0,986.2999999996392
1,Nonmatch,Self,Nonmatch,1,2394.899999999441
1,Nonmatch,Self,Nonmatch,1,841.0999999998021
1,Match,Stranger,Nonmatch,0,1552.5999999996277
1,Match,Stranger,Nonmatch,0,1758.2000000000116
1,Match,Self,Match,1,781.4999999996508
1,Match,Stranger,Match,1,1889.8999999997905
1,Nonmatch,Self,Nonmatch,1,821
1,Nonmatch,Self,Nonmatch,1,795.7999999996391
1,Match,Stranger,Nonmatch,0,2029.0999999992785
1,Nonmatch,Stranger,Nonmatch,1,1264.5999999992782
1,Nonmatch,Self,Nonmatch,1,866.7000000000116
1,Nonmatch,Self,Nonmatch,1,764.7999999999884
1,Match,Self,Match,1,999.9999999999418
1,Nonmatch,Stranger,Nonmatch,1,670.0999999994528
1,Match,Stranger,Match,1,1180.699999999837
1,Nonmatch,Stranger,Nonmatch,1,1598.999999999418
1,Nonmatch,Self,Nonmatch,1,1309.8999999994412
1,Nonmatch,Self,Nonmatch,1,798.4999999998254
1,Match,Self,Match,1,1005.2999999999884
1,Nonmatch,Stranger,Nonmatch,1,1101.6999999996042
1,Match,Self,Match,1,963.1999999994296
1,Match,Self,Match,1,622.3999999994412
1,Match,Stranger,Match,1,1312.999999999418
1,Nonmatch,Self,Nonmatch,1,1431.1999999994296
1,Nonmatch,Stranger,Nonmatch,1,1237.0999999992782
1,Match,Self,Match,1,776.6999999996042
1,Match,Stranger,Match,1,3291.099999999453
1,Match,Self,Match,1,1068.5999999999767
1,Match,Self,Match,1,582.8999999996158
1,Match,Stranger,Match,1,996.1999999992548
1,Nonmatch,Self,Nonmatch,1,655.3999999992666
1,Nonmatch,Self,Nonmatch,1,804.9000000000233
1,Match,Stranger,Match,1,2259.799999999232
1,Match,Self,Match,1,767.4999999992433
1,Nonmatch,Stranger,Nonmatch,1,633.1999999999534
1,Nonmatch,Stranger,Match,0,1402.8999999992666
1,Nonmatch,Stranger,Nonmatch,1,713.9000000000233
1,Nonmatch,Self,Nonmatch,1,847.0999999999767
1,Nonmatch,Self,Nonmatch,1,887.7999999994645
1,Nonmatch,Stranger,Nonmatch,1,1445.8999999994412
1,Match,Self,Match,1,908.699999999837
1,Nonmatch,Stranger,Nonmatch,1,810.6999999996042
1,Match,Self,Match,1,799.8999999999651
1,Nonmatch,Self,Nonmatch,1,1202.0999999992782
1,Match,Stranger,Match,1,1455.9999999998254
1,Nonmatch,Stranger,Nonmatch,1,974.2999999994644
1,Match,Self,Match,1,752.0999999996275
1,Match,Stranger,Match,1,1030.5999999994528
1,Match,Self,Match,1,585.7999999998137
1,Match,Stranger,Match,1,802.4999999994179
1,Match,Stranger,Match,1,492.4999999992433
1,Match,Stranger,Match,1,477.79999999981374
1,Match,Stranger,Match,1,420.3999999992666
1,Match,Stranger,Match,1,646.4999999996508
1,Nonmatch,Self,Nonmatch,1,771.7000000000116
1,Nonmatch,Self,Nonmatch,1,749.4000000000233
1,Nonmatch,Stranger,Match,0,1162.8999999994412
1,Nonmatch,Stranger,Nonmatch,1,976.3999999992666
1,Match,Self,Match,1,645.2999999999884
2,Match,Self,Match,1,606.6000000029799
2,Match,Stranger,Match,1,695.5000000029795
2,Match,Stranger,Match,1,780.7000000059597
2,Match,Self,Match,1,513
2,Nonmatch,Self,Nonmatch,1,894.3000000014908
2,Match,Stranger,Match,1,801.6000000029817
