SN,Screen,Identity,Order,Change,Matching,Label,Response,Correct,RT
1,probe,Self,Second,Same,Nonmatch,Stranger,Same,1,865.1999999994405
1,label,Self,Second,Same,Nonmatch,Stranger,Nonmatch,1,789.2999999994427
1,probe,Stranger,First,Same,Match,Stranger,Same,1,1071.499999999629
1,label,Stranger,First,Same,Match,Stranger,Match,1,781
1,probe,Stranger,Second,Same,Match,Stranger,Same,1,1054.3999999994412
1,label,Stranger,Second,Same,Match,Stranger,Match,1,695.3999999998123
1,probe,Self,First,Same,Match,Self,Same,1,845.9000000001834
1,label,Self,First,Same,Match,Self,Match,1,619.5999999994383
1,probe,Stranger,Second,Same,Match,Stranger,Same,1,1326.0999999994383
1,label,Stranger,Second,Same,Match,Stranger,Match,1,961.3000000001848
1,probe,Self,First,Same,Match,Self,Same,1,930.699999999626
1,label,Self,First,Same,Match,Self,Match,1,622.8999999996304
1,probe,Self,Second,Same,Nonmatch,Stranger,Same,1,1067.699999999997
1,label,Self,Second,Same,Nonmatch,Stranger,Nonmatch,1,1730.300000000003
1,probe,Self,First,Same,Nonmatch,Stranger,Same,1,895.4999999998108
1,label,Self,First,Same,Nonmatch,Stranger,Nonmatch,1,834.4999999998108
1,probe,NA,,Different,,NA,Different,1,1519.0999999998166
1,probe,Self,Second,Same,Match,Self,Same,1,965.2999999996246
1,label,Self,Second,Same,Match,Self,Match,1,780.2999999996246
1,probe,NA,,Different,,NA,Different,1,981.5999999998166
1,probe,NA,,Different,,NA,Different,1,849.3999999996304
1,probe,Stranger,First,Same,Match,Stranger,Same,1,1022.3999999999942
1,label,Stranger,First,Same,Match,Stranger,Match,1,699.5
1,probe,Self,First,Same,Nonmatch,Stranger,Same,1,990.1999999996332
1,label,Self,First,Same,Nonmatch,Stranger,Nonmatch,1,764.3000000001921
1,probe,Self,Second,Same,Match,Self,Same,1,938.6000000000058
1,label,Self,Second,Same,Match,Self,Match,1,925.2999999996246
1,probe,Stranger,First,Same,Nonmatch,Self,Same,1,864.0999999994528
1,label,Stranger,First,Same,Nonmatch,Self,Nonmatch,1,684.7999999999884
1,probe,Self,First,Same,Nonmatch,Stranger,Same,1,1051.3999999999942
1,label,Self,First,Same,Nonmatch,Stranger,Nonmatch,1,739.5000000001746
1,probe,NA,,Different,,NA,Different,1,961.0999999996276
1,probe,Self,First,Same,Match,Self,Same,1,1064.7000000001865
1,label,Self,First,Same,Match,Self,Match,1,699.1000000000058
1,probe,NA,,Different,,NA,Different,1,1056.1000000000058
1,probe,Stranger,Second,Same,Nonmatch,Self,Same,1,1174.800000000192
1,label,Stranger,Second,Same,Nonmatch,Self,Nonmatch,1,1388.0999999994528
1,probe,Stranger,Second,Same,Match,Stranger,Same,1,1077.7999999994354
1,label,Stranger,Second,Same,Match,Stranger,Match,1,789.1000000001804
1,probe,Self,First,Same,Match,Self,Same,1,1074.2000000001865
1,label,Self,First,Same,Match,Self,Match,1,895
1,probe,NA,,Different,,NA,Different,1,866.0999999994528
1,probe,NA,,Different,,NA,Different,1,946.900000000198
1,probe,Self,Second,Same,Nonmatch,Stranger,Same,1,1077.1999999994296
1,label,Self,Second,Same,Nonmatch,Stranger,Match,0,897.5999999998021
1,probe,NA,,Different,,NA,Different,1,809.0999999998021
1,probe,Stranger,Second,Same,Match,Stranger,Same,1,1186.8999999994412
1,label,Stranger,Second,Same,Match,Stranger,Match,1,753.7999999994354
1,probe,Stranger,First,Same,Match,Stranger,Same,1,992.2999999998136
1,label,Stranger,First,Same,Match,Stranger,Match,1,632.1999999996333
1,probe,NA,,Different,,NA,Same,0,844.999999999447
1,probe,Self,First,Same,Match,Self,Same,1,808.2000000000116
1,label,Self,First,Same,Match,Self,Match,1,577.7999999996391
1,probe,Self,First,Same,Nonmatch,Stranger,Same,1,702.2999999999884
1,label,Self,First,Same,Nonmatch,Stranger,Nonmatch,1,955.7999999999884
1,probe,NA,,Different,,NA,Different,1,858.4999999998254
1,probe,Self,First,Same,Nonmatch,Stranger,Same,1,884.0999999994528
1,label,Self,First,Same,Nonmatch,Stranger,Nonmatch,1,849.8999999996158
1,probe,Stranger,First,Same,Nonmatch,Self,Same,1,959.7999999999884
1,label,Stranger,First,Same,Nonmatch,Self,Nonmatch,1,738.6999999994296
1,probe,Stranger,First,Same,Match,Stranger,Same,1,835.9000000000233
1,label,Stranger,First,Same,Match,Stranger,Match,1,667.6000000002095
1,probe,NA,,Different,,NA,Different,1,819
1,probe,Stranger,First,Same,Match,Stranger,Same,1,879.9999999994179
1,label,Stranger,First,Same,Match,Stranger,Match,1,628.800000000163
1,probe,NA,,Different,,NA,Different,1,832.1999999996042
1,probe,Self,Second,Same,Match,Self,Same,1,1037.5000000001746
1,label,Self,Second,Same,Match,Self,Match,1,666.8999999996158
1,probe,NA,,Different,,NA,Different,1,807.6000000002095
1,probe,Stranger,Second,Same,Nonmatch,Self,Different,0,931.099999999802
1,label,Stranger,Second,Same,Nonmatch,Self,Match,0,2059.1999999994296
1,probe,NA,,Different,,NA,Different,1,1029.800000000163
1,probe,NA,,Different,,NA,Same,0,1220.0999999996277
1,probe,NA,,Different,,NA,Same,0,1352.900000000198
1,probe,Stranger,Second,Same,Nonmatch,Self,Same,1,953.0000000001746
1,label,Stranger,Second,Same,Nonmatch,Self,Nonmatch,1,790.2999999999884
1,probe,Stranger,First,Same,Nonmatch,Self,Same,1,1026.8999999996158
1,label,Stranger,First,Same,Nonmatch,Self,Nonmatch,1,651.9000000000233
1,probe,NA,,Different,,NA,Different,1,992.199999999837
1,probe,Stranger,First,Same,Nonmatch,Self,Same,1,884.7000000001863
1,label,Stranger,First,Same,Nonmatch,Self,Nonmatch,1,628.7000000001863
1,probe,Self,First,Same,Match,Self,Same,1,1041.5999999999767
1,label,Self,First,Same,Match,Self,Match,1,567.800000000163
