SN,selfColor,Matching,Label,Response,Correct,RT
1,red,Nonmatch,Friend,Nonmatch,1,0.9678578
1,red,Nonmatch,Self,Nonmatch,1,0.8414068
1,red,Match,Friend,Match,1,0.8781236
1,red,Match,Friend,Match,1,1.2995138
1,red,Match,Self,Match,1,0.7532834
1,red,Nonmatch,Self,Nonmatch,1,0.7768434
1,red,Nonmatch,Self,Nonmatch,1,0.8121448
1,red,Match,Friend,Match,1,0.8776094
1,red,Nonmatch,Self,Nonmatch,1,0.8467853
1,red,Nonmatch,Friend,Nonmatch,1,1.0731639
1,red,Match,Self,Match,1,0.757383
1,red,Match,Self,Match,1,0.6535769
1,red,Match,Friend,Match,1,0.8092664
1,red,Match,Friend,Match,1,0.7817923
1,red,Nonmatch,Self,Nonmatch,1,0.9090118
1,red,Match,Self,Match,1,0.6895123
1,red,Nonmatch,Self,Nonmatch,1,1.0933575
1,red,Nonmatch,Self,Nonmatch,1,0.7303377
1,red,Match,Self,Match,1,0.6495868
1,red,Nonmatch,Friend,Nonmatch,1,0.806658
1,red,Match,Friend,Match,1,0.7170149
1,red,Match,Friend,Match,1,0.7776304
1,red,Nonmatch,Self,Nonmatch,1,0.6853601
1,red,Match,Friend,Match,1,0.7121674
1,red,Nonmatch,Self,Nonmatch,1,0.8450164
1,red,Match,Self,Match,1,0.6532351
1,red,Match,Self,Match,1,0.6169325
1,red,Match,Self,Match,1,0.6735563
1,red,Match,Friend,Match,1,0.7979011
1,red,Match,Self,Match,1,0.8778741
1,red,Match,Self,Match,1,0.6579264
1,red,Match,Friend,Match,1,0.8090475
1,red,Match,Self,Match,1,0.8080247
1,red,Match,Self,Match,1,0.6538748
1,red,Nonmatch,Self,Nonmatch,1,0.7101211
1,red,Match,Self,Match,1,0.8703898
1,red,Match,Friend,Match,1,0.7483303
1,red,Match,Self,Match,1,0.6809037
1,red,Match,Friend,Match,1,0.777283
1,red,Nonmatch,Self,Nonmatch,1,0.8463696
1,red,Match,Friend,Match,1,0.7129177
1,red,Match,Friend,Match,1,0.8104099
1,red,Match,Self,Match,1,0.8445026
1,red,Nonmatch,Friend,Nonmatch,1,0.7491053
1,red,Nonmatch,Friend,Nonmatch,1,1.098429
1,red,Match,Friend,Match,1,0.7929182
1,red,Match,Self,Match,1,0.7176937
1,red,Nonmatch,Friend,Nonmatch,1,0.8778673
1,red,Match,Self,Match,1,0.6845787
1,red,Nonmatch,Friend,Nonmatch,1,0.7424131
1,red,Match,Self,Match,1,0.6191078
1,red,Match,Self,Match,1,0.6781654
1,red,Nonmatch,Friend,Nonmatch,1,0.8700734
1,red,Match,Self,Match,1,0.9406063
1,red,Nonmatch,Friend,Nonmatch,1,0.8106974
