"SN","Response","RT","Pair"
"1",1,17065.6000000015,10
"1",-1,1188.40000000149,18
"1",-1,1016.6,11
"1",-2,4753.5,7
"1",-1,1275.6,16
"1",1,3921.4,13
"1",-1,4348.3,17
"1",1,1287.10000000149,12
"1",-1,1883.3,1
"1",-2,1217.49999999851,8
"1",-2,999.599999999256,14
"1",1,1625.20000000149,6
"1",1,2320.60000000149,2
"1",-1,1316.10000000075,9
"1",1,1840.10000000075,4
"1",-1,1086.40000000074,5
"1",1,1387.49999999926,3
"1",1,988.199999999255,15
"1",-1,3676.89999999925,19
"1",1,1266.49999999852,21
"1",1,935.299999999261,20
"1",1,906.100000000748,7
"1",1,1878.09999999851,5
"1",1,1771.60000000075,9
"1",1,1133.20000000001,17
"1",2,1537.2999999985,16
"1",-1,1307.60000000001,15
"1",1,1399.79999999926,1
"1",-1,1016.19999999851,4
"1",2,2199.90000000001,14
"1",1,6753.10000000149,13
"1",1,1227.29999999926,10
"1",1,3026.60000000149,3
"1",1,2369.7999999985,18
"1",1,594.599999998507,8
"1",-1,972.099999999249,6
"1",1,1150.00000000001,11
"1",-1,1800,2
"1",-1,1216.60000000001,12
"8",-1,16415.6,17
"8",-1,1104.4,1
"8",-1,1932.3,16
"8",-1,1120.10000000596,2
"8",1,1011.50000000596,5
"8",-2,2732.00000000596,11
"8",1,1127.20000000298,6
"8",1,857.600000011924,13
"8",1,1135.60000001192,14
"8",-1,1083.30000000298,3
"8",-1,1039.80000000596,7
"8",1,1039.1,9
"8",-1,933.200000000012,18
"8",1,1169.60000000596,12
"8",1,721.800000011921,15
"8",1,773.200000011922,8
"8",-1,1559.10000000596,10
"8",1,1416.7,4
"8",-1,2161.2,21
"8",2,1131.60000001192,20
"8",2,1094.80000000894,19
"8",-1,1283.00000000298,12
"8",1,992.600000005958,3
"8",1,1961.10000001192,17
"8",1,779.600000008941,7
"8",1,892.000000011918,5
"8",-1,2617.70000000298,13
"8",1,1144.70000000596,2
"8",1,722.800000011921,18
"8",-1,1054.90000000596,4
"8",-1,812.800000011921,6
"8",1,940.800000011921,15
"8",1,1134.90000000298,1
"8",1,1457.80000000595,14
"8",1,856.399999999994,9
"8",-1,1510.30000000595,8
"8",1,842.40000000596,16
"8",2,1161.00000000597,11
"8",1,811.100000000006,10
"12",1,18849.1999999985,4
"12",-1,2311.39999999702,18
"12",-1,3219.59999999851,17
"12",1,2155,5
"12",1,1885.29999999553,14
"12",-1,2921.69999999702,2
"12",1,3620.7,1
"12",1,1555.6,7
"12",1,1429.89999999702,8
"12",-2,4669.69999999553,12
"12",1,3155.29999999851,6
"12",1,1108.59999999553,13
"12",1,5545.29999999851,3
"12",1,1547.99999999702,16
"12",1,1085.7999999985,9
"12",1,1066.59999999404,15
"12",-2,2369.19999999553,10
"12",-2,2978.09999999552,11
"12",-1,2059.99999999553,21
"12",1,4202.39999999999,19
"12",2,1289.99999999403,20
"12",1,2158.69999999405,15
"12",-1,1296.60000000001,9
"12",1,1253.39999999404,10
"12",1,2547.7999999985,2
"12",1,2061.69999999405,11
"12",-1,3068.39999999553,5
"12",-1,14434.1999999955,3
"12",1,1464.69999999701,12
"12",1,2533.39999999999,1
"12",1,2001.89999999553,8
"12",1,1601.39999999404,18
"12",-1,2930.09999999702,14
"12",1,1557.49999999553,13
"12",-1,2935.49999999702,6
"12",-1,2513.79999999702,16
"12",-1,1373.60000000001,4
"12",-1,5359.2999999985,7
"12",-1,1065,17
"13",-1,11672.299999994,7
"13",1,1244.30000000298,18
"13",1,1218.99999999404,15
"13",1,3322.49999999702,6
"13",2,2142.7,11
"13",1,1681.60000000298,8
"13",1,998.500000005959,4
"13",-1,5679.3,17
"13",-1,3172.89999999404,16
"13",1,1013.69999999404,1
"13",-1,10606.400000003,3
"13",1,998.400000000002,13
"13",-1,2223.09999999404,14
"13",-1,4085.59999999404,12
"13",1,2516.50000000001,10
"13",-1,1359.29999999404,5
"13",-1,5121.29999999404,9
"13",2,2581.00000000597,2
"13",1,1221.89999999999,19
"13",-2,5213.09999999702,21
"13",2,989.199999997014,20
"13",1,1318.19999999405,9
"13",1,3729.19999999701,12
"13",1,1700.80000000595,5
"13",1,3793.10000000297,3
"13",2,1705.60000000001,17
"13",1,1797.60000000001,10
"13",1,1070.09999999702,13
"13",2,2003.39999999703,14
"13",-1,1011.99999999403,2
"13",-1,2931.3,6
"13",-1,1543.10000000001,8
"13",-2,1321.89999999404,15
"13",1,1013.79999999404,7
"13",-2,2349.10000000596,4
"13",-1,2151.89999999999,1
"13",-1,2753.90000000596,11
"13",1,2172.59999999404,16
"13",-1,2561.80000000595,18
"14",1,19530.8,16
"14",-1,1662.19999999702,4
"14",-1,1875.69999999702,11
"14",-1,2105.3,14
"14",2,1364.70000000596,8
"14",-1,1671.50000000298,12
"14",-1,1604.2,1
"14",1,1924.8,10
"14",-1,1831.6,6
"14",1,1519.5,13
"14",-1,946.800000000003,3
"14",2,1116.7,15
"14",1,1017.29999999702,18
"14",2,1528.80000000596,5
"14",1,1412.20000000596,7
"14",-1,1380.2,2
