"SN","Response"
"1",4
"1",4
"1",4
"1",4
"1",4
"1",4
"1",4
"1",4
"1",4
"1",4
"1",3
"1",4
"2",3
"2",2
"2",5
"2",5
"2",4
"2",4
"2",2
"2",4
"2",3
"2",3
"2",3
"2",2
"3",4
"3",3
"3",5
"3",3
"3",4
"3",4
"3",4
"3",4
"3",5
"3",4
"3",3
"3",3
"4",2
"4",2
"4",4
"4",2
"4",4
"4",3
"4",2
"4",3
"4",3
"4",3
"4",2
"4",2
"6",4
"6",3
"6",1
"6",3
"6",4
"6",2
"6",1
"6",4
"6",4
"6",4
"6",4
"6",3
"7",3
"7",3
"7",2
"7",2
"7",4
"7",2
"7",4
"7",4
"7",4
"7",4
"7",4
"7",3
"8",4
"8",3
"8",4
"8",3
"8",4
"8",4
"8",4
"8",4
"8",4
"8",3
"8",4
"8",3
"9",4
"9",4
"9",4
"9",2
"9",2
"9",4
"9",1
"9",4
"9",4
"9",2
"9",4
"9",3
"10",4
"10",3
"10",4
"10",3
"10",5
"10",3
"10",4
"10",4
"10",5
"10",5
"10",4
"10",4
"11",3
"11",3
"11",4
"11",4
"11",4
"11",4
"11",3
"11",4
"11",4
"11",5
"11",2
"11",2
"12",3
"12",2
"12",2
"12",2
"12",3
"12",4
"12",4
"12",2
"12",3
"12",2
"12",2
"12",2
"13",3
"13",2
"13",3
"13",2
"13",4
"13",4
"13",3
"13",4
"13",4
"13",3
"13",3
"13",2
"14",2
"14",2
"14",4
"14",2
"14",2
"14",2
"14",5
"14",2
"14",2
"14",2
"14",1
"14",4
"15",3
"15",2
"15",1
"15",4
"15",5
"15",1
"15",5
"15",4
"15",5
"15",4
"15",3
"15",4
"16",4
"16",4
"16",3
"16",3
"16",5
"16",4
"16",5
"16",4
"16",3
"16",5
"16",5
"16",5
"19",3
"19",3
"19",3
"19",3
"19",4
"19",2
"19",4
"19",4
"19",4
"19",4
"19",4
"19",3
"20",3
"20",1
"20",2
"20",2
"20",3
"20",2
"20",2
"20",3
"20",2
"20",5
"20",3
"20",2
"21",2
"21",3
"21",3
"21",2
"21",1
"21",3
"21",3
"21",3
"21",4
"21",4
"21",3
"21",3
"22",4
"22",4
"22",2
"22",4
"22",4
"22",3
"22",5
"22",4
"22",5
"22",4
"22",5
"22",4
"23",4
"23",4
"23",4
"23",4
"23",4
"23",4
"23",3
"23",3
"23",4
"23",4
"23",3
"23",4
"24",3
"24",3
"24",4
"24",4
"24",4
"24",4
"24",4
"24",3
"24",4
"24",4
"24",3
"24",4
"25",2
"25",2
"25",1
"25",1
"25",1
"25",2
"25",2
"25",2
"25",2
"25",1
"25",2
"25",1
"27",2
"27",2
"27",1
"27",2
"27",2
"27",1
"27",4
"27",2
"27",2
"27",2
"27",3
"27",2
"28",2
"28",2
"28",4
"28",4
"28",4
"28",4
"28",5
"28",3
